2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | chat stream bypassed filters request_id=r-stream-2 upstream=https://upstream.example.com/v1
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | audit event queued: request_id=r-stream-2
2026-03-24 15:45:13 | ERROR | n4ughtyllm_gate | chat stream upstream failure request_id=r-stream-3 error=upstream_unreachable: dns failure
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | chat stream finished request_id=r-stream-3 reason=error:upstream_unreachable saw_done=False chunk_count=0 cached_chars=0
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | audit event queued: request_id=r-stream-3
2026-03-24 15:45:13 | WARNING | n4ughtyllm_gate | chat stream upstream closed without DONE request_id=r-stream-chat-eof-1 chunk_count=1 cached_chars=5 inject_done=true recovery_chars=124
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | chat stream finished request_id=r-stream-chat-eof-1 reason=upstream_eof_no_done_recovered saw_done=False chunk_count=1 cached_chars=5
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | audit event queued: request_id=r-stream-chat-eof-1
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | responses upstream forward request_id=r-stream-4 model=test-model input_items=0 payload_bytes=57
2026-03-24 15:45:13 | ERROR | n4ughtyllm_gate | responses stream unexpected failure request_id=r-stream-4
Traceback (most recent call last):
  File "/home/ali/Desktop/my_code/AegisGate/n4ughtyllm_gate/adapters/openai_compat/router.py", line 3274, in guarded_generator
    async for line in _iter_sse_frames(_forward_stream_lines(upstream_url, upstream_payload, forward_headers)):
    ...<144 lines>...
        yield line
  File "/home/ali/Desktop/my_code/AegisGate/n4ughtyllm_gate/adapters/openai_compat/stream_utils.py", line 254, in _iter_sse_frames
    async for chunk in chunks:
    ...<13 lines>...
                yield _build_sse_frame(frame_lines)
  File "/home/ali/Desktop/my_code/AegisGate/n4ughtyllm_gate/tests/test_streaming_router.py", line 419, in fake_forward_stream_lines
    raise ValueError("unexpected parser failure")
ValueError: unexpected parser failure
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | responses stream finished request_id=r-stream-4 reason=error:gateway_internal_error saw_done=False chunk_count=0 cached_chars=0
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | audit event queued: request_id=r-stream-4
2026-03-24 15:45:13 | INFO | n4ughtyllm_gate | responses upstream forward request_id=r-stream-resp-eof-1 model=test-model input_items=0 payload_bytes=57
2026-03-24 15:45:13 | WARNING | n4ughtyllm_gate | responses stream upstream closed without DONE request_id=r-stream-resp-eof-1 chunk_count=1 cached_chars=5 inject_done=true finalize_only=true
